run,region,year,technology,mode,account,value,unit
Base_v12,RE1,2024,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2025,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2026,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2027,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2028,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2029,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2030,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2031,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2032,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2033,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2034,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2035,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2036,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
